Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1748        3    22581    99.8%           27      31319  (24332 22581 22499 22496)
    1905        7    39649    99.6%           27      31477  (41561 39649 39503 39496)
    1781        6    26011    99.7%           27      31583  (27798 26011 25914 25908)
    2648        0     8357   100.0%           27      31618  (11005 8357 8292 8303)
    1693        0    19759   100.0%           27      31694  (21452 19759 19685 19685)
    1960        9    42430    99.5%           27      31864  (44399 42430 42275 42266)
    1782        8    25247    99.6%           27      31964  (27037 25247 25154 25146)
    2692        0     9943   100.0%           27      32004  (12635 9943 9873 9878)
    1618        0     9236   100.0%           27      32040  (10854 9236 9202 9202)
    1954        6    40337    99.7%           27      32199  (42297 40337 40187 40181)
    1843        9    31193    99.5%           27      32326  (33045 31193 31079 31070)
    2729        1    15846   100.0%           27      32390  (18576 15846 15753 15752)
    1626        0     8978   100.0%           27      32424  (10604 8978 8945 8945)
    1913        7    42900    99.6%           27      32593  (44820 42900 42744 42737)
    1874        7    31041    99.6%           27      32720  (32922 31041 30926 30919)
    2700        3    13640    99.9%           27      32776  (16343 13640 13550 13547)
    1596        0     9353   100.0%           27      32813  (10949 9353 9322 9323)
    1919        7    41007    99.6%           27      32973  (42933 41007 40859 40852)
    1762        3    22745    99.8%           27      33066  (24510 22745 22659 22656)
    1751        6    22312    99.7%           27      33158  (24069 22312 22229 22223)
    2613        0     2189   100.0%           27      33168  (4802 2189 2149 2151)
    1792        3    30027    99.8%           27      33285  (31822 30027 29916 29913)
    1920        7    36810    99.6%           27      33433  (38737 36810 36674 36667)
    1846        7    28350    99.6%           27      33548  (30203 28350 28244 28237)
    2560        0      389   100.0%           27      33550  (2949 389 353 355)
    1763        3    24896    99.8%           27      33646  (26662 24896 24805 24802)
    1929        6    38893    99.7%           27      33802  (40828 38893 38750 38744)
    1790       10    23778    99.4%           27      33898  (25578 23778 23694 23684)
    2653        0     9265   100.0%           27      33937  (11918 9265 9196 9196)
    1707        3    17698    99.8%           27      34005  (19408 17698 17635 17632)
    1959        5    43239    99.7%           27      34177  (45203 43239 43079 43074)
    1781        6    26405    99.7%           27      34282  (28192 26405 26308 26302)
    2662        0     9702   100.0%           27      34323  (12364 9702 9632 9632)
    1667        3    15394    99.8%           27      34381  (17064 15394 15340 15337)
    1940        5    42569    99.7%           27      34552  (44514 42569 42410 42405)
    1739        4    21356    99.8%           27      34639  (23099 21356 21277 21273)
    2742        0    16662   100.0%           27      34709  (19404 16662 16574 16575)
    1600        3     7701    99.8%           27      34740  (9304 7701 7675 7672)
    1914        5    42120    99.7%           27      34905  (44039 42120 41963 41958)
    1792        6    26527    99.7%           28      35012  (28325 26527 26429 26423)
    1767        3    20469    99.8%           28      35095  (22239 20469 20389 20386)
    2625        0     5740   100.0%           28      35116  (8365 5740 5685 5702)
    1867        4    37251    99.8%           28      35264  (39122 37251 37111 37107)
    1879        6    32169    99.7%           28      35395  (34054 32169 32050 32044)
    2607        2    20463    99.9%           28      35478  (23072 20463 20359 20357)
    1798        7     8269    99.6%           28      35512  (10074 8269 8235 8228)
    1913        5    41140    99.7%           28      35676  (43058 41140 40987 40982)
    1828        9    28390    99.5%           28      35788  (30227 28390 28288 28279)
    1747        3    18378    99.8%           28      35860  (20128 18378 18308 18305)
    2591        0     1149   100.0%           28      35867  (3740 1149 1115 1116)
    1714        0    19506   100.0%           28      35942  (21220 19506 19433 19433)
    1936        7    42510    99.6%           28      36114  (44453 42510 42353 42346)
    1835        2    26677    99.9%           28      36219  (28514 26677 26573 26571)
    2645        2     8169    99.9%           28      36254  (10816 8169 8106 8104)
    1705        0    17706   100.0%           28      36323  (19411 17706 17640 17640)
    1952        7    43542    99.6%           28      36495  (45501 43542 43381 43374)
    1801        5    26853    99.7%           28      36604  (28659 26853 26752 26747)
    2655        3     8756    99.9%           28      36641  (11414 8756 8692 8689)
    2044        0    13090   100.0%           28      36692  (15134 13090 13041 13041)
    1942        5    40857    99.7%           28      36852  (42804 40857 40708 40703)
    1838        6    27058    99.7%           28      36962  (28902 27058 26957 26951)
    5048        0    15830   100.0%           28      37028  (20878 15830 15740 15768)
    1610        0     8466   100.0%           28      37060  (10076 8466 8434 8434)
    1919        5    42209    99.7%           28      37226  (44133 42209 42052 42047)
    1809        4    28355    99.8%           28      37343  (30168 28355 28247 28243)
    2577        4    17773    99.8%           28      37415  (20354 17773 17679 17675)
    1675        0    13861   100.0%           28      37468  (15536 13861 13805 13805)
    1967       12    44381    99.4%           28      37643  (46360 44381 44224 44212)
    1808        5    27686    99.7%           28      37757  (29499 27686 27581 27576)
    2651       10    10476    99.6%           28      37801  (13137 10476 10401 10391)
