Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1856        4    36576    99.8%           24      34144  (38436 36576 36438 36434)
    1774        3    25712    99.8%           24      34246  (27489 25712 25613 25610)
    3336        0     5339   100.0%           24      34268  (8675 5339 5286 5287)
    1702        3    21808    99.8%           24      34352  (23513 21808 21729 21726)
    1909        4    42228    99.8%           24      34521  (44141 42228 42069 42065)
    1912        3    25501    99.8%           24      34626  (27416 25501 25397 25394)
    2438        0     6814   100.0%           24      34654  (9252 6814 6762 6764)
    1755        3    22320    99.8%           24      34740  (24078 22320 22240 22237)
    1915        7    41411    99.6%           24      34906  (43333 41411 41258 41251)
    1780        4    25551    99.8%           24      35011  (27335 25551 25453 25449)
    2684        0     6814   100.0%           24      35040  (9498 6814 6753 6758)
    1650        0    13602   100.0%           24      35093  (15252 13602 13551 13551)
    1884        6    39305    99.7%           24      35249  (41195 39305 39159 39153)
    1791        4    29483    99.8%           24      35369  (31278 29483 29370 29366)
    2704        0    14054   100.0%           24      35426  (16758 14054 13966 13968)
    1572        0     8469   100.0%           24      35459  (10041 8469 8437 8437)
    1872        3    38027    99.8%           24      35608  (39902 38027 37883 37880)
    1734        4    24402    99.8%           24      35707  (26140 24402 24311 24307)
    1784        3    24549    99.8%           24      35804  (26336 24549 24455 24452)
    2570        0     3024   100.0%           24      35818  (5594 3024 2981 2982)
    1760        3    28490    99.8%           24      35930  (30253 28490 28384 28381)
    1874        4    35780    99.8%           24      36075  (37658 35780 35645 35641)
    1782        3    28090    99.8%           24      36187  (29875 28090 27981 27978)
    2547        0     2696   100.0%           24      36199  (5243 2696 2654 2667)
    4487        0    24137   100.0%           24      36292  (28624 24137 24042 24087)
    1884        4    38921    99.8%           24      36449  (40809 38921 38775 38771)
    1739        3    24034    99.8%           24      36543  (25776 24034 23942 23939)
    2649        0    10042   100.0%           24      36586  (12691 10042 9968 9973)
    1630        3    13349    99.8%           24      36637  (14982 13349 13302 13299)
    1909        6    43144    99.7%           24      36807  (45059 43144 42984 42978)
    1749        4    18192    99.8%           24      36881  (19945 18192 18121 18117)
    1767        0    22569   100.0%           24      36969  (24336 22569 22479 22479)
    2555        0     3210   100.0%           24      36982  (5765 3210 3163 3166)
    1828        3    32074    99.8%           24      37107  (33905 32074 31955 31952)
    1874        7    35698    99.6%           24      37252  (37579 35698 35566 35559)
    1748        0    24030   100.0%           24      37346  (25778 24030 23933 23934)
    2577        0     4830   100.0%           25      37367  (7407 4830 4772 4774)
    1782        0    30532   100.0%           25      37488  (32314 30532 30415 30415)
    1847        4    32388    99.8%           25      37620  (34239 32388 32266 32262)
    1721        3    20450    99.8%           25      37702  (22174 20450 20372 20369)
    2643        0     9775   100.0%           25      37745  (12418 9775 9705 9708)
    1650        3    13857    99.8%           25      37799  (15510 13857 13808 13805)
