Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB  DEBUG
    1597        1     9397    99.9%          180      59274  (10995 9397 9353 9352)
    2466        4     6346    99.8%          180      59296  (8816 6346 6313 6309)
    1883        5    38198    99.7%          180      59448  (40086 38198 38057 38052)
    1663        5    16353    99.7%          180      59516  (18021 16353 16294 16289)
    1735        6    24268    99.7%          180      59617  (26009 24268 24178 24172)
    1668        1    10769    99.9%          180      59660  (12438 10769 10726 10725)
    2585        0     3642   100.0%          180      59674  (6227 3642 3596 3598)
    1810        2    36046    99.9%          180      59816  (37858 36046 35910 35908)
    1755        7    25318    99.6%          180      59920  (27080 25318 25226 25219)
    1664        4    15425    99.8%          180      59982  (17093 15425 15368 15364)
    1691        3    16542    99.8%          180      60047  (18236 16542 16478 16475)
    2573        0     3381   100.0%          180      60059  (5954 3381 3341 3352)
    1867        7    35422    99.6%          180      60199  (37296 35422 35293 35286)
    1697        3    16762    99.8%          180      60266  (18462 16762 16701 16698)
    1739        5    23721    99.7%          180      60367  (25465 23721 23632 23627)
    1706        3    16289    99.8%          180      60434  (17998 16289 16226 16223)
    2583        0     6724   100.0%          180      60458  (9307 6724 6664 6669)
    1907        4    41641    99.8%          180      60622  (43552 41641 41489 41485)
    1692        2    16762    99.9%          180      60693  (18456 16762 16699 16697)
    1706        6    20298    99.6%          180      60777  (22010 20298 20224 20218)
    2663        0    11198   100.0%          180      60820  (13861 11198 11129 11132)
    1605        3     9755    99.8%          180      60858  (11363 9755 9721 9718)
    1892        5    40117    99.7%          180      61017  (42014 40117 39968 39963)
    1672        2    17532    99.9%          180      61088  (19206 17532 17465 17463)
    1714        6    18930    99.7%          180      61162  (20650 18930 18861 18855)
    2647        0    11320   100.0%          180      61207  (13967 11320 11241 11246)
    1577        6     6677    99.6%          180      61233  (8260 6677 6656 6650)
    1806        3    32274    99.8%          180      61360  (34083 32274 32154 32151)
    1759        3    25220    99.8%          180      61461  (26982 25220 25125 25122)
    1712        7    18284    99.6%          180      61534  (20003 18284 18219 18212)
    1673        4    14570    99.8%          180      61593  (16247 14570 14514 14510)
    2556        0     2366   100.0%          180      61601  (4922 2366 2319 2323)
    1831        2    33460    99.9%          180      61731  (35293 33460 33337 33335)
    1785        3    29096    99.8%          180      61852  (30884 29096 28986 28983)
    1620        5    13675    99.7%          180      61905  (15300 13675 13626 13621)
    1667        3    14894    99.8%          180      61964  (16564 14894 14838 14835)
    2581        4     3535    99.8%          180      61979  (6120 3535 3493 3489)
    1688        1    18476    99.9%          180      62051  (20165 18476 18408 18407)
    1864        5    36391    99.7%          180      62197  (38260 36391 36256 36251)
    1668        5    17636    99.7%          180      62266  (19309 17636 17571 17566)
    1751        7    20624    99.6%          180      62349  (22382 20624 20549 20542)
